zone,actual_closure_rate,avg_predicted_probability,prediction_accuracy,avg_prediction_error
East Zone 2,0.14210526315789473,0.46720895,0.6894736842105263,0.3502041
Central Zone 1,0.1412639405204461,0.3688241,0.8550185873605948,0.26900873
North Zone 1,0.10062893081761007,0.32172802,0.8427672955974843,0.25567618
Central Zone 2,0.08667736757624397,0.39338344,0.8041733547351525,0.331673
West Zone 1,0.06697459584295612,0.22500311,0.9168591224018475,0.17914042
East Zone 1,0.05928853754940711,0.19044298,0.9090909090909091,0.15314057
North Zone 2,0.053268765133171914,0.20004444,0.9079903147699758,0.16969131
South Zone 2,0.05084745762711865,0.14454384,0.940677966101695,0.10868186
South Zone 1,0.04721030042918455,0.1146906,0.9570815450643777,0.07851997
West Zone 2,0.0446927374301676,0.14810213,0.9441340782122905,0.13990688
